観光地名,市町村,住所１（地番まで),説明,電話番号,営業時間,定休日,料金,ホームページURL
武甲山資料館,秩父市,大宮6176,羊山公園の北側に位置し、秩父地方を代表する「武甲山」に関連する資料を展示している資料館です。館内には「秩父山地のおいたち」「武甲山の地形と地質」「石灰岩の利用と分布」「武甲山の植物」「武甲山の動物」の５つのテーマをメインにした展示がなされています。,0494-24-7555,９：００～１６：００,・毎週火曜日（祝日は除く）・１２/２９～１/３,大人２００円/小・中学生１００円,http://www.bukohzan.jp/
埼玉県平和資料館,東松山市,岩殿241-113,風化しつつある戦争の体験を次の世代に引き継ぎ、戦争の悲惨さと平和の尊さを伝えていくために設けられた施設です。館内には展示品が陳列されており、特集展示会や映画会なども開催されています。,0493-35-4111,９：００～１６：３０（ただし、入館は１６：００まで）,・毎週月曜日（月曜日が休日のときは翌日）・１２/２９～１/３,一般１００円、大学生・高校生５０円ただし、中学生以下・６５歳以上の方・障害者の方及び付き添いの方（障害者１人について１人のみ）無料,http://homepage3.nifty.com/saitamapeacemuseum/
嵐山史跡の博物館,嵐山町,菅谷757,戦国時代の城跡で鎌倉時代の武将・畠山重忠の館跡とも伝えられる国の史跡「菅谷館跡」に建つ博物館です。「比企歴史の丘」のガイダンス施設として、畠山重忠をはじめ武蔵武士が活躍した比企地域の歴史と文化に触れる事が出来ます。また、周辺にはヤマユリが自生し、７月中旬に見ごろを迎えます。,0493-62-5896,９：００～１６：００（入館受付は１６時まで）※７月１日～８月３１日は、９：００～１７：００（入館受付は１６時３０分まで）,・月曜日（祝日・振替休日および５月１日、２日、埼玉県民の日１１月１４日を除く）・１２月２９日～１月３日,１００円（高・大学生は５０円）,http://www.ranzan-shiseki.spec.ed.jp/?page_id=22
さいたま文学館,桶川市,若宮1-5-9,田山花袋や長谷川かな女など、埼玉にゆかりのある文学者の資料の展示をはじめ、文学資料の検索・閲覧ができる図書室、講座・講演会などで利用できるホール・研修室などを備えた県民の文学活動の拠点施設となっています。,048-789-1515,１０：００～１７：３０,・毎週月曜日・年末年始・館内整理日（毎月第４火曜日）,一般２１０円/高・大学生１００円,http://www.saitama-bungakukan.org/
埼玉県山西省友好記念館　神怡舘,小鹿野町,両神薄2245,古い歴史を持つ中国山西省と埼玉県の友好県省締結を記念し建設され、山西省を中心とした中国の伝統や文化を展示紹介しています。館内展示の一部は、特別展の実施毎に入れ替わり、館内売店では３００種以上の中国土産を販売しています。また、チャイナドレスを借りての写真撮影も楽しめる。,0494-79-1493,９：００～１７：００,・火曜日・祝日の翌々日・年末年始,＜入館料＞大人３５０円/子ども１５０円,http://www18.ocn.ne.jp/~ogano/shenyi.html
大滝歴史民俗資料館,秩父市,大滝4277-4,秩父地域の民俗資料を収集し、先人が伝統的に作り出した地域民の生活文化の民具類や諸道具の資料を展示公開している資料館です。「道の駅　大滝温泉」に隣接しています。昭和初期の中流家庭の生活模様を復元した民家や大滝地区の原生林の様子、かつての農耕具などが展示されています。,0494-55-0021（秩父市教育委員会大滝事務所）,９：００～１６：３０　※入館は１６：００まで,・木曜日（その日が祝日の場合は開館）・祝日の翌日（その日が日曜日の場合は開館）・１２/２８～１/４ ,一般２００円/生徒・児童１００円※団体（２０名以上）は２割引,http://www.otaki.gr.jp/sports/index.htm
埼玉県環境科学国際センター,加須市,上種足914,環境に関する調査研究を行う「研究所」に、体感型の環境学習ができる「展示館」やビオトープ手法で里山を復元した「生態園」を併設した複合施設です。生態園では、四季を通じて様々な動植物をお楽しみ頂けます。また、体験講座、講演会なども定期的に開催しています。,0480-73-8363,＜展示館＞９：３０～１６：３０（入館は１６時まで）,展示館の休館日・月曜日（ただし、休日、県民の日の時は開館）・開館した月曜日の翌平日・年末年始（１２月２９日～１月３日）,一般/３００円、団体（２０人以上）１８０円学生・高校生/２００円、団体（２０名以上）１２０円（中学生以下、６５歳以上、障害のある方は無料）,http://www.pref.saitama.lg.jp/soshiki/f16/
上尾市自然学習館・上尾天文台,上尾市,畔吉178,上尾市自然学習館・上尾天文台は、自然豊かな上尾丸山公園内に設置された、上尾の自然や文化を学習、観察、体験ができる自然学習の拠点になる施設です。天文台では、毎週土曜日に天体観測会が開催されています。※天候不良の時は中止となります。,048-780-1030,＜市民天体観望会＞毎週土曜日（午後７時～９時　※６月～８月は午後７時３０分～９時３０分）＜太陽の観察・天体相談会＞毎週土・日曜日、祝日（午後１時～５時）,＊＊＊,無料,http://www.city.ageo.lg.jp/kakubukakukaichiran/toshiseibi/midorikouen/tanto/shizengakushukan/shizengakushu/index.html
埼玉県防災学習センター,鴻巣市,袋30,災害に強い地域づくりのため、地震や暴風などの災害時の対処方法を楽しく体験、学習が出来る施設です。毎秒３０ｍの暴風や煙体験、地震体験といった災害の状況を再現し、身を守るために必要な知識を体験しながら学習が出来ます。,048-549-2313,９：００～１６：３０,月曜（祝日の翌日）,無料,http://www.bousai-gakusyu-saitama-ht.jp/
舟運亭　むかし館,川越市,西小仙波町1-7-19,江戸時代には、そうめん造りが盛んで夏が近付くと、「川越そうめん」は将軍家へ献上され、藩の代表的産物になっていました。舟運亭では「川越十七万石うどん」「そうめん」に川越特産の「さつま芋」を加え、それぞれの味を大切に麺本来の味を生かし創り上げました。町方民具・武具・小村雪岱の下絵等を展示した民俗資料館も併設されています。,049-222-1311,１０：００～１７：００,水曜日,無料,http://www.koedo.or.jp/shop-search/pickup1/syuuuntei.html
朝霞市博物館,朝霞市,岡２丁目７?２２,考古・歴史・民俗・美術工芸の４分野から、郷土朝霞の歴史文化を紹介しています。また、企画展示をはじめ、歴史講座・古文書講座・体験講座などを実施しています。その他、博物館のシンボルである屋外水車や庭を散策できる遊歩道があります。,048-469-2285,９：００～１７：００,・月曜日・第４金曜日・祝日の翌日・１２/２７～１/４,無料,http://www.city.asaka.saitama.jp/guide/bunka/commu/05.html
道の駅　龍勢会館,秩父市,吉田久長32,埼玉県秩父市吉田の「椋神社例大祭」は、別名「龍勢祭」として呼ばれ親しまれています。「龍勢祭」の臨場感をそのままに、いつでも祭りの感動に出会えます。実物の龍勢をはじめ、世界の龍勢等を展示しています。また、そば・うどんの体験コーナーや地元の特産品を販売する直売所が併設されている道の駅です。,0494-77-0333（龍勢会館）0494-77-1555（龍勢茶屋）,９：００～１６：３０,火曜日（前日が祝日の場合は翌日）,大人（高校生以上）３００円/小人（小中学生）１５０円/幼児（未就学）無料 ※団体割引あり（２０名様以上、お一人様５０円引き） ,http://www.ryuseinomachi.co.jp/ryusei/index.htm
新座市立歴史民俗資料館,新座市,片山1丁目２１番２５号,新座市の文化と歴史を育んできた野火止用水は、１６５５年に、当時の老中・松平信綱が、武蔵野開発のためにつくった飲用水路で、小平から野火止までの約３０ｋｍ続いています。館内では、「水と関わる文化と生活」をテーマに、原始から近・現代にいたる新座市の水の文化を、人々の生活や民俗芸能に焦点を当て紹介しています。,048-481-0177,午前９時～午後５時（入館は午後４時３０分まで）,月曜日（ただし、この日が国民の祝日の場合は、その直後の国民の祝日でない日も休館）/国民の祝日（文化の日を除く）/年末年始（１２月２９日～１月３日）,無料,http://www.city.niiza.lg.jp/04life/edu/history.php
渋沢栄一記念館,深谷市,下手計1204,近代日本経済の父といわれる『渋沢栄一』の功績を広く顕彰するために、平成７年１１月にオープン。資料室には、写真や伝記資料など約１５０点が展示される他、貴重な肉声のテープなどが放映されております。,048-587-1100,９：００～１７：００,・毎週火曜日・年末年始※その他臨時休業あり,入場・観覧無料,http://www.city.fukaya.saitama.jp/seisakusuisin/shibusawa_kinennkan.html
川越市立博物館,川越市,郭町２町目３０番地１,川越は関東地方の代表的な城下町で、歴史的・文化的な伝統に育まれて発展してきました。市内には土蔵づくりの店舗などに象徴されるように数多くの貴重な文化遺産が残っています。これらの資料を系統的に収集、保存、調査研究、公開することにより、郷土の歴史と文化に対する理解と認識を深める為の施設です。,049-222-5399,９：００～１７：００（ただし入館は１６：３０まで）,・毎週月曜日・休日の翌日・第４金曜日・１２/２８～１/４※その他、臨時休館の場合があります,大人２００円/学生・生徒１００円/児童５０円,http://museum.city.kawagoe.saitama.jp/
蔵造り資料館,川越市,幸町7番地９,蔵造り資料館は、明治２６年（１８９３）の川越大火直後、類焼を免れた数軒の蔵造り建物や東京の日本橋界隈の商家を参考に、当時煙草卸商を営んでいた小山文造が建てたものです。川越の蔵造り家屋の意匠や構造、敷地内の様子を見学でき、今もなお息づく明治のたたずまいを体感できます。,049-222-5399（川越市立博物館）,９：００～１７：００（ただし入館は１６：３０まで）,・毎週月曜日（休日の場合は翌日）※川越まつりの翌日は除く・第４金曜日（休日は除く）・１２/２８～１/４,一般１００円/高・大学生５０円/中学生以下無料,http://www.kawagoe.com/kzs/index.html
入間市博物館　ＡＬＩＴ,入間市,二本木100,入間市博物館「アリット」は別名「お茶の博物館」と呼ばれています。煎茶道具の逸品の数々をはじめ、世界と日本各地のお茶の種類や飲み方などが展示されています。館内の資料閲覧室では、郷土やお茶に関する資料を中心に取り揃えています。,04-2934-7711,９：００～１７：００,・月曜日（その日が休日または振替休日の場合はその翌日）・第４火曜日・祝日の翌日・年末年始,＜常設展＞大人２００円/高・大学生１００円/小・中学生５０円※特別展の料金は、その都度変動します。,http://www.alit.city.iruma.saitama.jp/
サトエ記念２１世紀美術館,加須市,水深大立野2067,四季折々の情緒豊な日本庭園には、ロダンや舟越保武などの彫刻作品が並んでおり、御殿場桜、花笠などの約３０種４０本の桜の苗木が植樹されています。秋田杉を基調とした館内では年間４～５回の企画展示を開催し、郷土の作家を中心に国内外の美術作品を幅広く紹介しています。,0480-66-3806,１０：００～１７：００（７～９月は１７時３０分まで）,・月曜日（祝日の場合は翌日）・年末年始・展示替え期間 ,一般７００円/大高生、高齢者〔65歳以上〕 ５００円/小中学生３００円、未就学児無料※団体２０名以上割引あり,http://www.satoe-museum.or.jp/
長島記念館,熊谷市,小八林1022,長島記念館は、埼玉銀行頭取・会長を勤め埼玉県経済界の発展に努めてきた、故長島恭助氏の生家を利用して平成５年にオープンしました。記念館には生前の長島氏が収集した、河合玉堂・横山大観らの絵画を中心に刀剣など様々な美術品が展示されています。,0493-39-2025,１０：００～１６：００,・毎週月・木曜日（祝日の場合を除く）・祝日の翌日（土日を除く）・夏期及び年末年始,＜入館料＞　　一般/３００円（２１０円）小・中学生/１００円（７０円）　※（　）内は２０名以上の団体,http://www.city.kumagaya.lg.jp/kanko/midokoro/nagashima/index.html
原爆の図　丸木美術館,東松山市,下唐子1401,原爆の図で有名な丸木位里、俊夫妻が建てた美術館で、原爆や戦争を題材とした作品が展示されています。企画展やアートスペース企画なども定期的に実施されています。また、「原爆の図」をはじめとした丸木位里・俊夫妻の図録を販売するほか、「原爆の図」や丸木夫妻関連書籍、絵本も多数取り扱っています。,0493-22-3266,９：００～１７：００（１２月～２月は９：３０～１６：３０）,月曜日（祝日の場合は翌平日）、ＧＷ、夏休みは休館日無し年末年始（１２/２９～１/３）,大人９００円/中学生・高校生６００円、小学生4４００円（※団体：２０名以上で１００円割引）,http://www.aya.or.jp/~marukimsn/
埼玉県立近代美術館,さいたま市,浦和区常盤9-30-1,「見る、創る、発表する」機能を備えた近代美術館では、収蔵品を中心としたＭＯＭＡＳコレクションの開催とともに、講座やイベント、ボランティアの活動なども活発に行っています。また、定期的に一般展示室の展示物の入れ替えや、企画展や展覧会も開催しています。,048-824-0111,１０：００～１７：３０,・月曜日（祝日、県民の日の場合は開館）・年末年始(１２/２９～１/３）※メンテナンスのため休館する場合があります。,＜入館料＞無料＜観覧料＞ＭＯＭＡＳコレクションは一般２００円/大高生１００円/中学生以下、６５歳以上、障害者手帳をお持ちの方は無料,http://www.momas.jp/
新しき村美術館,毛呂山町,葛貫423,新しき村は白樺派の文豪、武者小路実篤が「自他共に生きる理想の世界」を目指して築いたもので、現在も養鶏・椎茸・稲作・野菜を中心に自給自足を目指した共同生活が営まれています。村内にある新しき美術館には、実篤の人間味あふれる書画や書簡、著書等が収められています。,049-295-5398,・１０：００～１２：００・１４：００～１７：００,・毎週月曜日（祝日は開館しています）・年末年始（１２月２６日～１月４日）,大人２００円子供１００円団体（３０名以上）１５０円,http://www.atarashiki-mura.or.jp/
あじさいの小路（榎峠）,本庄市,児玉町東小平地区,榎峠の林道沿い２ｋｍに渡り約３０種類約６，０００株の色とりどりのあじさいが植えられており、山間地のため平地より開花が遅く「遅咲きあじさい」として知られています。小路の途中には、一年中枯れることのない自然の湧き水「ごっくん水」もあり、自然の中で深呼吸しながらハイキングをお楽しみ頂けます。,0495-72-1331（本庄市観光協会児玉支部）,常時開放,なし,無料,http://www.honjo-kanko.jp/
能護寺,熊谷市,永井太田1141,奈良時代に行基上人が開山した名刹で、約８０種類８００株のあじさいが咲き乱れ、別名あじさい寺とも呼ばれています。あじさいの見ごろは６月上旬～７月上旬で、鐘楼付近の眺めは特に圧巻です。鐘楼の鐘は、１７０１年に鋳造され、鐘の音は荘厳です。本堂の格平井の花鳥画も見ごたえがあります。,048-588-1321（熊谷市役所/妻沼行政センター）,８：００～１７：００,無休,無料（※あじさい開花時は参観料３００円（１８歳未満無料）,http://www.city.kumagaya.lg.jp/kanko/midokoro/nogoji/index.html
宝登山梅百花園,長瀞町,長瀞1766-1,長瀞町のシンボル宝登山の山頂にある梅百花園は、日本一品種の多い梅園で約１７０種、約４７０本の梅の木があります。見頃は２月中旬から３月頃までで、かぐわしい梅の香りが園内に広がります。「宝登山ロウバイ園」と隣接しており、２月中旬から下旬にかけては黄色いロウバイと紅白の梅の見事な競演を楽しめます。,0494-66-3311（長瀞町観光協会）,９：００～１７：００,なし（定期点検のため、運休の場合がありますので、お問い合わせ下さい）,宝登山ロープウェイをご利用になる場合、料金が発生します。・大　人４６０円（片道）８００円（往復）・小　人２３０円（片道）４００円（往復）,http://www.nagatoro.or.jp/
越生梅林,越生町,堂山１１３,関東３大梅林に数えられる越生梅林。梅園神社に九州太宰府天満宮を分祀した際、菅原道真公にちなんで梅を植えたことが起源とされています。約２ヘクタールの園内には、６００年以上前に植えられた古木をはじめ、白加賀・越生野梅・紅梅などが約千本あります。２月中旬～３月下旬には梅まつりが開催され、大勢の観梅客で賑わいます。,049-292-3121（越生町観光協会）,８：３０～１７：００（梅まつり期間中のみ）,なし,大人：２００円（中学生以上）,http://www.town.ogose.saitama.jp/umematsuri/
白砂公園のカタクリの里,秩父市,吉田久長,秩父市吉田久長にある白砂公園では、３月下旬～４月中旬にかけてカタクリの花が見頃を迎えます。遊歩道（木橋）が整備され北向き斜面１，０００㎡の広さに約５，０００株のカタクリの花が咲き誇ります。南向き斜面には砂岩が露出し頂上からの眺めも良好で、散策コースにもなっています。,0494-72-6083（秩父市役所吉田総合支所）,常時開放,なし,無料,http://navi.city.chichibu.lg.jp/flower/katakuri/shirasuna/index.html
浦山カタクリの里,皆野町,金沢地内,花好きな地元の方々によって丹精に育てられたカタクリが、可憐な花を咲かせます。四季それぞれ楽しめるようアジサイやつつじ、ノウゼンカズラ、スイセンも植えられています。カタクリの時期は３月下旬～４月上旬で、見頃は４月上旬です。,0494-62-1462（皆野町役場）,常時開放,なし,無料,http://www.town.minano.saitama.jp/topics/2010/flower/katakuri/index.htm
ながとろ カタクリの里,長瀞町,大字岩田７３５－１,かつて片栗粉の原料として使われていたカタクリは日本各地に自生していますが、近年は著しく減少しています。そんなカタクリが数多く咲き誇る自生地域です。見頃は３月下旬から４月上旬です。他にも、イカリソウやチゴユリ、ジュウニヒトエ、クマイチゴ、ムラサキケマンなど様々な花が自生しています。,0494-66-3706（長瀞かたくりの郷事務局）,９：００～１６：３０,なし,３８０円,http://park18.wakwak.com/~inoue.co.ltd/
あしがくぼ山の花道,横瀬町,＊＊＊,あしがくぼ果樹公園村の木の子茶屋から約５分ほど歩いた林の中にあります。カタクリは春（４月上旬～中旬）に咲く、うつむいた姿が美しい可憐な花です。秩父路に最も似合う花のひとつで、広さ１０，０００㎡の山の斜面に咲き乱れ、一面紅紫色に染まります。カタクリの時期には「カタクリ祭り」を開催しています。また、６月にはラベンダーも咲き乱れます。,0494-25-0114（横瀬町役場）,常時開放,なし,無料,http://www.yokoze.gr.jp/flower/2004/lavender/index.htm
荒川地区ザゼンソウ自生地,秩父市,荒川日野1908 　山翠荘,武甲山の山麓にある山翠荘裏手の寺沢川沿いの湿地に約３００株のザゼンソウが自生しています。ザゼンソウはサトイモ科の植物で、花の様子を座禅僧に見立てているところから命名されたと言われています。花は葉に先立って開き、茎は高さ１０～２０センチで、葉は成長して長さ幅とも４０センチほどになります。,0494-54-1123（山翠荘）,＊＊＊,＊＊＊,＜見学料＞大人３００円/子ども（小学生以下）無料,http://navi.city.chichibu.lg.jp/flower/zazenso/index.html
永源寺,所沢市,久米1342,曹洞宗の寺で、室町幕府の関東管領上杉氏の家臣大石氏にゆかりがあります。創建者・大石信重の墓は所沢市の指定文化財になっています。また、近年では雪割草の名所として知られており、早春になると境内に花を咲かせています。花は色も形も同じものはありません。,04-2922-3431,日中,なし,＊＊＊,http://www.tokoro-kankou.jp/blog/024.html
石間の福寿草自生地,秩父市,吉田石間,吉田町の石間・沢口地区の福寿草の辺りは福寿草の里と呼ばれていて、約１，０００㎡の敷地内に多くの福寿草が自生しています。沢口の福寿草は花弁が大きい在来種と言われており、開花時期は２月下旬～３月中旬です。地元沢口地区では、満開となる３月中旬に「福寿草祭」が開催されます。,0494-72-6083（秩父市役所吉田総合支所）,常時,なし,-,http://www.chichibu.co.jp/hana/2004/yoshida_fukujyuso/index.htm
砂川遺跡周辺　福寿草自生地,所沢市,三ヶ島,福寿草は、おめでたい正月の花として、新春を祝う意味があるそうです。花言葉は「長寿、慶賀、幸せを招く」です。　２月下旬～３月下旬が見頃で、この時期になると砂川遺跡周辺では一斉に小さな黄色い花の福寿草が咲き乱れます。,04-2998-9155（所沢市役所商工労政課）,常時開放,なし,無料,http://www.city.tokorozawa.saitama.jp/tokoronews/saijiki/h19/20080219/index.html
コスモスフェスティバル,羽生市,大字三田ヶ谷地内,羽生市大字三田ヶ谷地区の転作田（約４ヘクタール）がコスモス畑になります。様々な種類のコスモスが美しく咲き乱れ、花の見頃は１０月いっぱいの予定です。イベント開催日も設けられるほか、コスモス写真コンテストも開催されます。,048-561-1121（羽生市役所/農政課）,例年１０月中旬頃,-,-,http://www.city.hanyu.lg.jp/kurashi/madoguchi/nousei/02_culture/02_kankou/cosmos/cosmos.html
コスモスフェスタ,越谷市,大吉,越谷市大吉地区には約６ヘクタールにも及ぶコスモス畑があり、秋口になるとピンクや白のコスモスが一斉に花を咲かせます。生育のいい年には、人間の背くらいの高さまで成長します。１０月にはコスモスフェスタが行われ、フェスタのあとにはコスモスの摘み取りが自由に出来ます。,048-964-2111（越谷市役所）,例年１０月下旬,-,無料,http://www2.city.koshigaya.saitama.jp/miru/shiki/aki/kosumosu/index.html
新河岸川河畔,志木市,中宗岡市役所横,新河岸川沿いのサイクリングコースでは、秋になるとキバナコスモスを始めとするコスモスが咲き乱れます。また、見頃の時期の１０月初旬の日曜日には「コスモスまつり」が開催され、多くの観光客で賑わいます。また、春には桜も咲き、桜の名所としても知られています。,048-473-1111（志木市役所）,常時開放,なし,無料,＊＊＊
コスモスまつり,美里町,下児玉地内,美里町下児玉地区で行われ、約５ヘクタールの広大な敷地に色とりどりのコスモスが咲き、メインフェスティバルの日には各種イベントが開催されています。コスモスの花の摘み取りも可能で、１０，０００㎡の巨大ひまわり畑もあります。,0495-76-5133（美里町役場/農林商工課）,例年１０月中旬頃,-,１人２００円※中学生以下は無料,http://www.misato-kanko.com/flower/cosmos.html
コスモスふれあいロード,久喜市,葛西用水路沿い,埼玉県内でも有数のコスモス自生地の一つで、葛西用水路沿いの両岸、加須市川口の川口樋前橋から久喜市境の玉屋橋までと、その周辺の畑を含めた往復約１２キロメートルのポピーとコスモスの道です。春は「ポピー」約２５０万本・秋は「コスモス」約６８０万本がお楽しみ頂けます。見頃の時期になるとその風景は圧巻です。,0480-58-1111（鷲宮総合支所）,常時開放,常時開放,無料,http://www.city.kuki.lg.jp/washimiya/kakuka/07keizai/cosmos_road/cosmos_road.htm
荒川コスモス街道,鴻巣市,荒川河川敷　（コスモスアリーナふきあげ周辺）,埼玉県内でも有数のコスモスの名所で、約４．５ｋｍの荒川沿いの街道に、薄紅色、白、黄色のコスモスが合計１０００万本咲いています。花畑から見える富士山や秩父連山、日本一長い水管橋など、ここにしかない景色をお楽しみ頂けます。花の見頃は１０月中旬から下旬にかけてです。,048-541-1321（鴻巣市役所/花かおり課）,常時開放,-,-,http://www.konosu-kanko.jp/
みさと花公園,美里町,猪俣1635,猪俣地区の「みさと花公園」では、約３．５ヘクタールの広大な敷地一面に色とりどりのポピーが咲きみだれます。見頃は毎年４月下旬から５月下旬までで、この頃に毎年「美里ポピーまつり」が開催され、花や農産物の直売や各種イベントが催されます。,0495-76-5133（美里町役場/農林商工課）,常時開放,なし,＜美里ポピーまつり＞大人２００円（中学生以下は無料）,http://www.misato-kanko.com/flower/poppy.html
ポピー・ハッピースクエア,鴻巣市,馬室荒川河川敷,１２．５ヘクタールの日本一広いポピー畑です。赤やオレンジのポピーが美しく咲き広がります。５月の花の見ごろの頃になると、ポピー祭りが開催されます。ステージショーや地元農産物の販売などが行われ、多くの観光客で賑わいます。,048-541-1321（鴻巣市花かおり課）048-542-1169（鴻巣市観光協会）,期間中常時開放,-,無料,http://www.city.kounosu.saitama.jp/9，1326，71，373.html
岡部のコスモス街道,深谷市,岡部中学校北東側,環境センター手前から深谷方面へ約３㎞におよぶコスモス街道。毎年１０月中旬に行われる「コスモス祭り」では各種イベントが行われ、中でも、若人の軽快な動きのダンスフェステバルは近隣の愛好者グループの競演もあり、祭りに花を添えています。,048-585-3750（岡部商工会）,常時開放＜コスモス祭り＞例年１０月中旬,なし,無料,http://www.city.fukaya.saitama.jp/syoukousinkou/cosmos_maturi.html
熊谷桜堤,熊谷市,河原町ほか,江戸時代から桜の名所として知られる熊谷桜堤は、（財団法人）日本さくらの会から、由緒ある歴史と美しさを称えられ、平成２年３月３日に「さくら名所１００選」に選定されました。毎年４月上旬に開かれる「さくら祭」には、約５００本のソメイヨシノが２ｋｍにおよぶ桜のトンネルをつくり、多くの人々を魅了します。,048-524-1111（熊谷市役所）,常時開放,なし,無料,http://www.city.kumagaya.lg.jp/kanko/midokoro/sakura/
さくら通り,吉川市,保、吉川ほか（さくら通り）,ＪＲ武蔵野線「吉川駅」北口から線路沿いを東へ約３００ｍ。ここから北上すること約３．５ｋｍにわたる桜並木で、約５００本の桜並木が春の訪れを告げます。散歩やジョギングに最適です。途中には関公園やポケットパークがあります。,048-982-9697（吉川市役所/商工課）,常時開放,なし,無料,http://www.city.yoshikawa.saitama.jp/12，382，43，199.html
岩槻城址公園,さいたま市,岩槻区太田3-4 ,岩槻城址公園は、約６００本の桜が咲く県内有数の桜の名勝です。自然林に囲まれた起伏の多い公園で、岩槻城の土塁が今も現存しています。また、四季を通じて数々の賑やかな催し物が開催されます。春の季節には、岩槻城址公園桜まつり、岩槻流しびなが行なわれ、秋には人形供養祭が行なわれます。,048-757-9122（岩槻城址公園管理事務所）,常時開放,なし,無料,http://www.scvb.or.jp/data/jyoushipark.shtml
元荒川桜堤,蓮田市,宮前橋、荒川橋周辺,蓮田駅から歩いて１０分ほどの元荒川の川岸に咲き誇る満開の桜堤は、元荒川の景色を一変するほど見事なものです。３月下旬からライトアップされて、昼夜にかかわらず、土手を散歩する人の目をくぎ付けにしています。また、４月上旬にはさくらまつりが開催され、たくさんの人で賑わいます。,048-769-1661（蓮田市商工祭さくらまつり実行委員会/蓮田市商工会内）048-768-3111（蓮田市役所商工課商工係/内線235・236）,常時開放,なし,無料,＊＊＊
天覧山,飯能市,飯能,天覧山は標高１９５ｍで、登山口から頂上まで約２０分とハイキングに最適です。春は桜、秋は紅葉が楽しめ、晴れた日には天候が良い日には、東京都の観光名所「池袋サンシャイン６０」、そのやや北側に東京都新名所「東京スカイツリー」を見渡すことができます。また、天覧山のふもとの中央公園では、毎年春に「飯能さくらまつり」が開催され、お花見や夜桜見物などで多くの観光客で賑わいます。,042-974-7900（飯能市観光案内所）,常時開放,なし,なし,http://www.city.hanno.saitama.jp/syoukoukankou/kankou/map/tenranzan.htm
元荒川桜堤,越谷市,大房,北越谷第五公園から神明橋を通過して大沢橋鉄橋に至るまで約２ｋｍに渡って続く桜並木です。約３５０本のソメイヨシノが植樹されています。お花見の時期になると神明橋の下流側の河川敷が最も賑わいます。また、桜の時期になると提灯も取り付けられ、荘厳な世界が広がります。,048-966-6111（越谷市商工会）,常時開放,なし,無料,http://www2.city.koshigaya.saitama.jp/miru/shiki/haru/motoarakawa_sakura/index.html
柳瀬川河畔の桜,志木市,本日町,毎年３月下旬から４月上旬になると柳瀬川河畔沿いに約１７０本あまりの桜が咲き乱れます。見頃の時期には、露店や花見客などで賑わいます。また、新河岸川河畔、柳瀬川河畔、敷島神社境内で桜まつりが開催され、夕方からはぼんぼりが灯され、夜桜も楽しめます。,048-473-1111（志木市役所）,常時開放,なし,無料,＊＊＊
城山公園,本庄市,児玉町八幡山446,ソメイヨシノが約３００本植えられている城山公園は、雉岡城跡とも言われ、城跡には大規模な空堀や土塁が残り、往時の面影を現在に伝えており、埼玉県の史跡に指定されています。園内には「群書類従」の編纂刊行者として、わが国の学問史上に巨跡を残した、塙保己一の遺品を展示する「塙保己一記念館」があります。　,0495-72-1331（本庄市観光協会児玉支部）,常時,なし,無料,http://www.city.honjo.lg.jp/kurasi_info/kankou/bunkazai/itirann/sitei.html
与野公園,さいたま市,中央区本町西1,明治１０年に開設された約５１，０００㎡の緑の公園です。埼玉自然１００選にも選ばれている与野公園は、桜とバラの名所として有名です。染井吉野の桜や１７０種類、約３０００株のバラが咲き乱れます。また、与野七福神の一つの天祖神社（寿老人）もあり、お正月には多くの観光客で賑わいます。,048-852-2518（さいたま市公園緑地協会下落合プール内南部管理事務所）,常時開放,なし,無料,http://www.scvb.or.jp/data/yonopark.shtml
葛西用水の桜,草加市,稲荷・青柳,昭和５３年に草加八潮工業会、草加市観光協会などにより、当初１００本植樹された桜は、地元町会などにより大切に管理・補植され、今では４５０本あまりとなっています。毎年４月には「さくらまつり」も開催され、多くの人でにぎわいます。,0489-22-0151（草加市役所）,常時開放,なし,無料,http://www.city.soka.saitama.jp/hp/page000004400/hpg000004374.htm
高尾さくら公園,北本市,高尾6丁目,広々とした芝生にソメイヨシノ、カンヒザクラ、シダレザクラ等、全国から集められたおよそ３０種・２００本の桜が植えられ、３月下旬から４月上旬にかけて次々に満開の時期を迎えます。また、４月上旬に行われる「さくらまつり」には、多くの人で賑わいます。また晴れた日には遠くに富士山や秩父連山が望むことができます。,048-592-4050（北本総合公園管理事務所）,常時開放,なし,無料,http://www.city.kitamoto.saitama.jp/shisetsu/kouen/sakura_kouen.htm
城ケ谷堤,北本市,石戸宿7丁目,桜土手や桜堤の名前で親しまれている江戸時代に築かれた堤です。両側に約６０本のソメイヨシノが植えられており、満開時には桜のトンネルになりお花見の人で賑わいます。毎年４月上旬に満開になります。,048-594-5566（生涯学習課）,常時,なし,無料,http://www.city.kitamoto.saitama.jp/welcome/sakura.htm
青毛堀桜堤,久喜市,青毛,青毛堀に沿って約１ｋｍに渡り約２５０本の桜並木が続きます。菜の花も植樹されており、ピンクと黄色のコントラストが見事です。見頃は３月下旬から４月上旬で、その頃には花見客で大変賑わいます。また、青毛堀堤に沿ってサイクリングを楽しんでいる方も多く見られます。,0480-22-1111（久喜市役所）,常時開放,なし,無料,＊＊＊
